,,,Away,,Away,,Away,,,
,,,0,,1,,2,,,
Period,Frame,Time [s],Player0,,Player1,,Player2,,Ball,
1,241,4.016667,0.578359,0.593512,0.561908,0.359751,0.497543,0.489453,nan,nan
1,242,4.033333,0.58019,0.59338,0.563414,0.360775,0.498393,0.489836,nan,nan
1,243,4.05,0.582022,0.593248,0.56492,0.361798,0.499244,0.490219,nan,nan
1,244,4.066667,0.583853,0.593115,0.566427,0.362821,0.500094,0.490602,nan,nan
1,245,4.083333,0.585684,0.592983,0.567933,0.363845,0.500944,0.490985,nan,nan
1,246,4.1,0.587515,0.592851,0.56944,0.364868,0.501795,0.491368,nan,nan
1,247,4.116667,0.589346,0.592718,0.570946,0.365892,0.502645,0.491751,nan,nan
1,248,4.133333,0.591178,0.592586,0.572453,0.366915,0.503496,0.492133,nan,nan
1,249,4.15,0.593009,0.592454,0.573959,0.367939,0.504346,0.492516,nan,nan
1,250,4.166667,0.59484,0.592321,0.575466,0.368962,0.505197,0.492899,nan,nan
1,251,4.183333,0.596672,0.592189,0.576973,0.369986,0.506047,0.493282,nan,nan
1,252,4.2,0.598503,0.592056,0.578479,0.371009,0.506897,0.493665,nan,nan
1,253,4.216667,0.600335,0.591924,0.579986,0.372032,0.507748,0.494048,nan,nan
1,254,4.233333,0.602166,0.591792,0.581492,0.373056,0.508598,0.494431,nan,nan
1,255,4.25,0.603998,0.591659,0.582999,0.37408,0.509449,0.494814,nan,nan
1,256,4.266667,0.605829,0.591527,0.584506,0.375103,0.510299,0.495197,nan,nan
1,257,4.283333,0.607661,0.591394,0.586012,0.376127,0.51115,0.49558,nan,nan
1,258,4.3,0.609492,0.591262,0.587519,0.37715,0.512,0.495963,nan,nan
1,259,4.316667,0.611324,0.59113,0.589026,0.378174,0.512851,0.496346,nan,nan
1,260,4.333333,0.613156,0.590998,0.590532,0.379197,0.513701,0.496729,nan,nan
1,261,4.35,0.614987,0.590865,0.592039,0.380221,0.514552,0.497112,nan,nan
1,262,4.366667,0.616819,0.590733,0.593546,0.381244,0.515402,0.497495,nan,nan
1,263,4.383333,0.618651,0.5906,0.594923,0.383383,0.516253,0.497878,nan,nan
1,264,4.4,0.620483,0.590468,0.5963,0.385521,0.517103,0.498261,nan,nan
1,265,4.416667,0.622315,0.590336,0.597677,0.387659,0.517954,0.498644,nan,nan
1,266,4.433333,0.624147,0.590203,0.599054,0.389797,0.518804,0.499027,nan,nan
1,267,4.45,0.625979,0.590071,0.600432,0.391935,0.519655,0.49941,nan,nan
1,268,4.466667,0.627811,0.589938,0.601809,0.394073,0.520505,0.499793,nan,nan
1,269,4.483333,0.629643,0.589806,0.603186,0.396211,0.521356,0.500176,nan,nan
1,270,4.5,0.631475,0.589674,0.604563,0.39835,0.522206,0.500559,nan,nan
1,271,4.516667,0.633307,0.589541,0.60594,0.400488,0.523057,0.500942,nan,nan
1,272,4.533333,0.635139,0.589409,0.607318,0.402626,0.523907,0.501325,nan,nan
1,273,4.55,0.636971,0.589276,0.608695,0.404764,0.524758,0.501708,nan,nan
1,274,4.566667,0.638803,0.589144,0.610072,0.406902,0.525608,0.502091,nan,nan
1,275,4.583333,0.640635,0.589011,0.611449,0.40904,0.526459,0.502474,nan,nan
1,276,4.6,0.642468,0.588879,0.612827,0.411179,0.52731,0.502857,nan,nan
1,277,4.616667,0.6443,0.588747,0.614204,0.413317,0.52816,0.50324,nan,nan
1,278,4.633333,0.646132,0.588614,0.615581,0.415455,0.529011,0.503623,nan,nan
1,279,4.65,0.647965,0.588482,0.616958,0.417593,0.529861,0.504006,nan,nan
1,280,4.666667,0.649797,0.588349,0.618335,0.419731,0.530712,0.504389,nan,nan
1,281,4.683333,0.65163,0.588217,0.619713,0.421869,0.531563,0.504772,nan,nan
1,282,4.7,0.653462,0.588084,0.62109,0.424008,0.532413,0.505155,nan,nan
1,283,4.716667,0.655295,0.587952,0.622467,0.426146,0.533264,0.505538,nan,nan
1,284,4.733333,0.657232,0.588048,0.623826,0.428791,0.534027,0.505986,nan,nan
1,285,4.75,0.65917,0.588143,0.625185,0.431436,0.534791,0.506433,nan,nan
1,286,4.766667,0.661108,0.588239,0.626543,0.434081,0.535554,0.506881,nan,nan
1,287,4.783333,0.663046,0.588335,0.627902,0.436727,0.536318,0.507328,nan,nan
1,288,4.8,0.664984,0.58843,0.629261,0.439372,0.537081,0.507776,nan,nan
1,289,4.816667,0.666922,0.588526,0.630619,0.442017,0.537845,0.508223,nan,nan
1,290,4.833333,0.66886,0.588622,0.631978,0.444662,0.538608,0.508671,nan,nan
1,291,4.85,0.670798,0.588717,0.633337,0.447307,0.539372,0.509118,nan,nan
1,292,4.866667,0.672736,0.588813,0.634695,0.449953,0.540135,0.509566,nan,nan
1,293,4.883333,0.674674,0.588909,0.636054,0.452598,0.540899,0.510013,nan,nan
1,294,4.9,0.676612,0.589004,0.637413,0.455243,0.541663,0.510461,nan,nan
1,295,4.916667,0.67855,0.5891,0.638771,0.457888,0.542426,0.510908,nan,nan
1,296,4.933333,0.680489,0.589196,0.64013,0.460533,0.54319,0.511356,nan,nan
1,297,4.95,0.682427,0.589291,0.641489,0.463178,0.543953,0.511803,nan,nan
1,298,4.966667,0.684365,0.589387,0.642847,0.465824,0.544717,0.512251,nan,nan
1,299,4.983333,0.686304,0.589483,0.644206,0.468469,0.54548,0.512698,nan,nan
1,300,5.0,0.688242,0.589578,0.645565,0.471114,0.546244,0.513146,nan,nan
1,301,5.016667,0.69018,0.589674,0.646923,0.473759,0.547008,0.513593,nan,nan
1,302,5.033333,0.692119,0.58977,0.648282,0.476404,0.547771,0.514041,nan,nan
1,303,5.05,0.694057,0.589865,0.649641,0.479049,0.548535,0.514488,nan,nan
1,304,5.066667,0.695996,0.589961,0.650999,0.481694,0.549298,0.514936,nan,nan
1,305,5.083333,0.697934,0.590057,0.652358,0.484339,0.550062,0.515384,nan,nan
