,,,Home,,Home,,Home,,,
,,,0,,1,,2,,,
Period,Frame,Time [s],Player0,,Player1,,Player2,,Ball,
1,241,4.016667,0.92917,0.468475,0.746294,0.456382,0.599559,0.519753,0.919179,0.484718
1,242,4.033333,0.929315,0.466957,0.746924,0.458651,0.599331,0.520578,0.919966,0.482142
1,243,4.05,0.92946,0.465439,0.747554,0.460919,0.599103,0.521402,0.920753,0.479566
1,244,4.066667,0.929604,0.463922,0.748184,0.463187,0.598875,0.522227,0.92154,0.47699
1,245,4.083333,0.929749,0.462404,0.748814,0.465455,0.598647,0.523052,0.922327,0.474414
1,246,4.1,0.929894,0.460886,0.749444,0.467723,0.598419,0.523877,0.923114,0.471838
1,247,4.116667,0.930039,0.459368,0.750074,0.469991,0.598191,0.524702,0.923902,0.469262
1,248,4.133333,0.930184,0.45785,0.750704,0.472259,0.597963,0.525526,0.924689,0.466686
1,249,4.15,0.930329,0.456332,0.751334,0.474527,0.597735,0.526351,0.924947,0.465333
1,250,4.166667,0.930473,0.454815,0.751964,0.476795,0.597507,0.527176,0.925205,0.463981
1,251,4.183333,0.930618,0.453297,0.752594,0.479063,0.597279,0.528,0.925463,0.462629
1,252,4.2,0.930763,0.451779,0.753224,0.481331,0.597051,0.528825,0.925722,0.461277
1,253,4.216667,0.930908,0.450261,0.753855,0.483599,0.596823,0.52965,0.92598,0.459925
1,254,4.233333,0.931053,0.448743,0.754485,0.485867,0.596595,0.530475,0.926238,0.458573
1,255,4.25,0.931197,0.447225,0.755115,0.488135,0.596367,0.531299,0.926496,0.457221
1,256,4.266667,0.931342,0.445707,0.755745,0.490403,0.596139,0.532124,0.926754,0.455868
1,257,4.283333,0.931487,0.444189,0.756375,0.492671,0.595911,0.532949,0.926869,0.455568
1,258,4.3,0.931632,0.442671,0.757005,0.494939,0.595683,0.533774,0.926984,0.455267
1,259,4.316667,0.931777,0.441153,0.757635,0.497207,0.595455,0.534598,0.927099,0.454966
1,260,4.333333,0.931922,0.439635,0.758265,0.499475,0.595227,0.535423,0.927214,0.454666
1,261,4.35,0.931874,0.440691,0.758895,0.501742,0.594999,0.536248,0.927329,0.454365
1,262,4.366667,0.931827,0.441748,0.759525,0.50401,0.594771,0.537072,0.927443,0.454064
1,263,4.383333,0.93178,0.442805,0.760155,0.506278,0.594543,0.537897,0.927616,0.454289
1,264,4.4,0.931732,0.443861,0.760785,0.508546,0.594315,0.538722,0.927788,0.454514
1,265,4.416667,0.931685,0.444918,0.761099,0.510836,0.594087,0.539546,0.927961,0.454739
1,266,4.433333,0.931638,0.445974,0.761414,0.513126,0.594318,0.540445,0.928133,0.454964
1,267,4.45,0.93159,0.447031,0.761728,0.515416,0.594548,0.541343,0.928305,0.455188
1,268,4.466667,0.931543,0.448087,0.762043,0.517705,0.594778,0.542242,0.928478,0.455413
1,269,4.483333,0.931496,0.449144,0.762357,0.519995,0.595008,0.54314,0.92865,0.455638
1,270,4.5,0.931448,0.4502,0.762672,0.522285,0.595238,0.544038,0.928823,0.455862
1,271,4.516667,0.931401,0.451257,0.762986,0.524575,0.595468,0.544937,0.929011,0.457664
1,272,4.533333,0.931354,0.452313,0.763301,0.526865,0.595698,0.545835,0.929199,0.459465
1,273,4.55,0.931306,0.45337,0.763615,0.529154,0.595928,0.546734,0.929388,0.461267
1,274,4.566667,0.931259,0.454426,0.763929,0.531444,0.596158,0.547632,0.929576,0.463068
1,275,4.583333,0.931212,0.455483,0.764244,0.533734,0.596388,0.548531,0.929765,0.46487
1,276,4.6,0.931164,0.456539,0.765449,0.53553,0.596618,0.549429,0.929953,0.466671
1,277,4.616667,0.931117,0.457596,0.766655,0.537327,0.596849,0.550328,0.930142,0.468472
1,278,4.633333,0.93107,0.458652,0.767861,0.539124,0.597079,0.551226,0.93033,0.470273
1,279,4.65,0.931023,0.459709,0.769066,0.54092,0.597309,0.552124,0.930518,0.472075
1,280,4.666667,0.930975,0.460765,0.770272,0.542717,0.597539,0.553023,0.930707,0.473876
1,281,4.683333,0.930928,0.461822,0.771477,0.544514,0.597769,0.553921,0.930895,0.475677
1,282,4.7,0.930881,0.462878,0.772683,0.54631,0.597999,0.55482,0.930895,0.476578
1,283,4.716667,0.930833,0.463934,0.773888,0.548107,0.598229,0.555718,0.930896,0.477479
1,284,4.733333,0.930786,0.464991,0.774905,0.549904,0.598745,0.556316,0.930896,0.47838
1,285,4.75,0.930739,0.466047,0.775922,0.551701,0.599261,0.556914,0.930896,0.479281
1,286,4.766667,0.930691,0.467104,0.77694,0.553499,0.599777,0.557512,0.930092,0.482586
1,287,4.783333,0.930644,0.46816,0.777957,0.555296,0.600293,0.55811,0.929289,0.485891
1,288,4.8,0.930597,0.469217,0.778974,0.557093,0.600809,0.558709,0.928486,0.489197
1,289,4.816667,0.930549,0.470273,0.779991,0.55889,0.601325,0.559307,0.927682,0.492502
1,290,4.833333,0.93032,0.471274,0.781008,0.560687,0.601841,0.559905,0.926879,0.495807
1,291,4.85,0.93009,0.472276,0.782025,0.562484,0.602357,0.560503,0.926075,0.499111
1,292,4.866667,0.929861,0.473278,0.783042,0.564281,0.602873,0.561101,0.923778,0.50252
1,293,4.883333,0.929631,0.474279,0.784059,0.566078,0.603389,0.561699,0.921482,0.505929
1,294,4.9,0.929401,0.475281,0.785076,0.567876,0.603904,0.562297,0.919185,0.509337
1,295,4.916667,0.929172,0.476283,0.786093,0.569673,0.60442,0.562895,0.916888,0.512746
1,296,4.933333,0.928942,0.477284,0.78711,0.57147,0.604936,0.563493,0.914592,0.516154
1,297,4.95,0.928713,0.478286,0.788128,0.573267,0.605452,0.564091,0.912296,0.519562
1,298,4.966667,0.928483,0.479287,0.789145,0.575064,0.605968,0.564689,0.909999,0.52297
1,299,4.983333,0.928254,0.480289,0.790162,0.576861,0.606484,0.565287,0.907703,0.526377
1,300,5.0,0.928024,0.481291,0.791179,0.578658,0.607,0.565886,0.905407,0.529785
